Timestamp,Zone ID,Zone Name,Workers Assigned,Tasks Arriving,Tasks Completed,Backlog Size,Utilization Rate (%),Recommended Workers,Notes
2024-11-01 00:00,Zone A,Receiving,5,30,40,0,80,5,Normal operation
2024-11-01 00:00,Zone B,Picking,3,20,30,0,100,3,Normal operation
2024-11-01 00:00,Zone C,Packing,4,25,35,0,88,4,Normal operation
2024-11-01 01:00,Zone A,Receiving,5,35,45,0,90,5,Normal operation
2024-11-01 01:00,Zone B,Picking,3,22,30,0,100,3,Normal operation
2024-11-01 01:00,Zone C,Packing,4,28,35,0,88,4,Normal operation
2024-11-01 02:00,Zone A,Receiving,5,40,50,0,100,5,Normal operation
2024-11-01 02:00,Zone B,Picking,3,25,30,0,100,3,Normal operation
2024-11-01 02:00,Zone C,Packing,4,30,35,0,88,4,Normal operation
2024-11-01 03:00,Zone A,Receiving,5,45,50,0,100,5,Normal operation
2024-11-01 03:00,Zone B,Picking,3,28,30,0,100,3,Normal operation
2024-11-01 03:00,Zone C,Packing,4,32,35,0,88,4,Normal operation
2024-11-01 04:00,Zone A,Receiving,5,50,45,5,90,6,Backlog increasing
2024-11-01 04:00,Zone B,Picking,3,30,30,0,100,3,Normal operation
2024-11-01 04:00,Zone C,Packing,4,35,35,0,88,4,Normal operation
2024-11-01 05:00,Zone A,Receiving,6,55,60,0,100,6,Adjusted workers
2024-11-01 05:00,Zone B,Picking,3,32,30,2,95,4,Backlog increasing
2024-11-01 05:00,Zone C,Packing,4,38,35,3,88,5,Backlog increasing
2024-11-01 06:00,Zone A,Receiving,6,60,60,0,100,6,Normal operation
2024-11-01 06:00,Zone B,Picking,4,35,40,0,100,4,Adjusted workers
2024-11-01 06:00,Zone C,Packing,5,40,45,0,90,5,Adjusted workers
2024-11-01 07:00,Zone A,Receiving,6,65,60,5,95,7,Backlog increasing
2024-11-01 07:00,Zone B,Picking,4,38,40,0,100,4,Normal operation
2024-11-01 07:00,Zone C,Packing,5,45,45,0,90,5,Normal operation
2024-11-01 08:00,Zone A,Receiving,7,70,70,5,100,7,Peak hour demand
2024-11-01 08:00,Zone B,Picking,4,40,40,0,100,4,Normal operation
2024-11-01 08:00,Zone C,Packing,5,50,45,5,90,6,Backlog increasing
2024-11-01 09:00,Zone A,Receiving,7,75,70,10,95,8,Backlog increasing
2024-11-01 09:00,Zone B,Picking,4,42,40,2,95,5,Backlog increasing
2024-11-01 09:00,Zone C,Packing,6,55,50,10,92,6,Adjusted workers
2024-11-01 10:00,Zone A,Receiving,8,80,80,10,100,8,Normal operation
2024-11-01 10:00,Zone B,Picking,5,45,50,0,100,5,Adjusted workers
2024-11-01 10:00,Zone C,Packing,6,60,60,0,100,6,Normal operation
2024-11-01 11:00,Zone A,Receiving,8,85,80,15,95,9,Backlog increasing
2024-11-01 11:00,Zone B,Picking,5,48,50,0,100,5,Normal operation
2024-11-01 11:00,Zone C,Packing,6,65,60,5,95,7,Backlog increasing
2024-11-01 12:00,Zone A,Receiving,9,90,90,15,100,9,Normal operation
2024-11-01 12:00,Zone B,Picking,5,50,50,0,100,5,Normal operation
2024-11-01 12:00,Zone C,Packing,7,70,70,0,100,7,Adjusted workers
2024-11-01 13:00,Zone A,Receiving,9,95,90,20,95,10,Backlog increasing
2024-11-01 13:00,Zone B,Picking,5,52,50,2,95,6,Backlog increasing
2024-11-01 13:00,Zone C,Packing,7,75,70,5,95,8,Backlog increasing
2024-11-01 14:00,Zone A,Receiving,10,100,100,20,100,10,Normal operation
2024-11-01 14:00,Zone B,Picking,6,55,60,0,100,6,Adjusted workers
2024-11-01 14:00,Zone C,Packing,8,80,80,0,100,8,Normal operation
2024-11-01 15:00,Zone A,Receiving,10,95,100,15,100,10,Backlog reducing
2024-11-01 15:00,Zone B,Picking,6,53,60,0,100,6,Normal operation
2024-11-01 15:00,Zone C,Packing,8,78,80,0,100,8,Normal operation
2024-11-01 16:00,Zone A,Receiving,10,90,100,5,100,10,Backlog reducing
2024-11-01 16:00,Zone B,Picking,6,50,60,0,100,6,Normal operation
2024-11-01 16:00,Zone C,Packing,8,75,80,0,100,8,Normal operation
2024-11-01 17:00,Zone A,Receiving,9,85,90,0,100,9,Adjusted workers
2024-11-01 17:00,Zone B,Picking,5,48,50,0,100,5,Adjusted workers
2024-11-01 17:00,Zone C,Packing,7,70,70,0,100,7,Adjusted workers
2024-11-01 18:00,Zone A,Receiving,8,80,80,0,100,8,Normal operation
2024-11-01 18:00,Zone B,Picking,5,45,50,0,100,5,Normal operation
2024-11-01 18:00,Zone C,Packing,6,65,60,5,95,6,Backlog increasing
2024-11-01 19:00,Zone A,Receiving,7,75,70,5,95,7,Backlog increasing
2024-11-01 19:00,Zone B,Picking,4,42,40,2,95,4,Backlog increasing
2024-11-01 19:00,Zone C,Packing,6,60,60,5,100,6,Normal operation
2024-11-01 20:00,Zone A,Receiving,6,70,60,15,90,7,Backlog increasing
2024-11-01 20:00,Zone B,Picking,4,40,40,2,100,4,Normal operation
2024-11-01 20:00,Zone C,Packing,5,55,50,10,90,6,Backlog increasing
2024-11-01 21:00,Zone A,Receiving,6,65,60,20,90,7,Backlog increasing
2024-11-01 21:00,Zone B,Picking,3,38,30,10,100,4,Understaffed
2024-11-01 21:00,Zone C,Packing,5,50,50,10,100,5,Normal operation
2024-11-01 22:00,Zone A,Receiving,7,60,70,10,100,7,Adjusted workers
2024-11-01 22:00,Zone B,Picking,4,35,40,5,100,4,Adjusted workers
2024-11-01 22:00,Zone C,Packing,5,45,50,5,100,5,Backlog reducing
2024-11-01 23:00,Zone A,Receiving,7,55,70,0,100,7,Backlog cleared
2024-11-01 23:00,Zone B,Picking,4,32,40,0,100,4,Backlog cleared
2024-11-01 23:00,Zone C,Packing,5,40,50,0,100,5,Backlog cleared
2024-11-02 00:00,Zone A,Receiving,5,50,50,0,100,5,Normal operation
2024-11-02 00:00,Zone B,Picking,3,30,30,0,100,3,Normal operation
2024-11-02 00:00,Zone C,Packing,4,35,35,0,100,4,Normal operation
2024-11-02 01:00,Zone A,Receiving,5,45,50,0,100,5,Normal operation
2024-11-02 01:00,Zone B,Picking,3,28,30,0,100,3,Normal operation
2024-11-02 01:00,Zone C,Packing,4,32,35,0,88,4,Normal operation
2024-11-02 02:00,Zone A,Receiving,5,40,50,0,100,5,Normal operation
2024-11-02 02:00,Zone B,Picking,3,25,30,0,100,3,Normal operation
2024-11-02 02:00,Zone C,Packing,4,30,35,0,88,4,Normal operation
2024-11-02 03:00,Zone A,Receiving,5,35,45,0,90,5,Normal operation
2024-11-02 03:00,Zone B,Picking,3,22,30,0,100,3,Normal operation
2024-11-02 03:00,Zone C,Packing,4,28,35,0,88,4,Normal operation
2024-11-02 04:00,Zone A,Receiving,5,30,40,0,80,5,Normal operation
2024-11-02 04:00,Zone B,Picking,3,20,30,0,100,3,Normal operation
2024-11-02 04:00,Zone C,Packing,4,25,35,0,88,4,Normal operation
2024-11-02 05:00,Zone A,Receiving,5,25,40,0,80,5,Normal operation
2024-11-02 05:00,Zone B,Picking,3,18,30,0,100,3,Normal operation
2024-11-02 05:00,Zone C,Packing,4,22,35,0,88,4,Normal operation
2024-11-02 06:00,Zone A,Receiving,5,20,40,0,80,5,Normal operation
2024-11-02 06:00,Zone B,Picking,3,15,30,0,100,3,Normal operation
2024-11-02 06:00,Zone C,Packing,4,20,35,0,88,4,Normal operation
2024-11-02 07:00,Zone A,Receiving,6,25,50,0,83,6,Normal operation
2024-11-02 07:00,Zone B,Picking,3,18,30,0,100,3,Normal operation
2024-11-02 07:00,Zone C,Packing,4,22,35,0,88,4,Normal operation
2024-11-02 08:00,Zone A,Receiving,6,30,60,0,100,6,Normal operation
2024-11-02 08:00,Zone B,Picking,4,25,40,0,100,4,Adjusted workers
2024-11-02 08:00,Zone C,Packing,5,28,50,0,100,5,Adjusted workers
2024-11-02 09:00,Zone A,Receiving,7,35,70,0,100,7,Normal operation
2024-11-02 09:00,Zone B,Picking,4,30,40,0,100,4,Normal operation
2024-11-02 09:00,Zone C,Packing,5,35,50,0,100,5,Normal operation
2024-11-02 10:00,Zone A,Receiving,7,40,70,0,100,7,Normal operation
2024-11-02 10:00,Zone B,Picking,4,35,40,0,100,4,Normal operation
2024-11-02 10:00,Zone C,Packing,5,40,50,0,100,5,Normal operation
2024-11-02 11:00,Zone A,Receiving,8,45,80,0,100,8,Normal operation
2024-11-02 11:00,Zone B,Picking,5,38,50,0,100,5,Adjusted workers
2024-11-02 11:00,Zone C,Packing,6,45,60,0,100,6,Adjusted workers
2024-11-02 12:00,Zone A,Receiving,8,50,80,0,100,8,Normal operation
2024-11-02 12:00,Zone B,Picking,5,40,50,0,100,5,Normal operation
2024-11-02 12:00,Zone C,Packing,6,50,60,0,100,6,Normal operation
2024-11-02 13:00,Zone A,Receiving,8,45,80,0,100,8,Normal operation
2024-11-02 13:00,Zone B,Picking,5,38,50,0,100,5,Normal operation
2024-11-02 13:00,Zone C,Packing,6,45,60,0,100,6,Normal operation
2024-11-02 14:00,Zone A,Receiving,7,40,70,0,100,7,Normal operation
2024-11-02 14:00,Zone B,Picking,4,35,40,0,100,4,Adjusted workers
2024-11-02 14:00,Zone C,Packing,5,40,50,0,100,5,Adjusted workers
2024-11-02 15:00,Zone A,Receiving,7,35,70,0,100,7,Normal operation
2024-11-02 15:00,Zone B,Picking,4,30,40,0,100,4,Normal operation
2024-11-02 15:00,Zone C,Packing,5,35,50,0,100,5,Normal operation
2024-11-02 16:00,Zone A,Receiving,6,30,60,0,100,6,Normal operation
2024-11-02 16:00,Zone B,Picking,3,25,30,0,100,3,Adjusted workers
2024-11-02 16:00,Zone C,Packing,4,28,35,0,88,4,Adjusted workers
2024-11-02 17:00,Zone A,Receiving,6,25,60,0,100,6,Normal operation
2024-11-02 17:00,Zone B,Picking,3,20,30,0,100,3,Normal operation
2024-11-02 17:00,Zone C,Packing,4,25,35,0,88,4,Normal operation
2024-11-02 18:00,Zone A,Receiving,5,20,50,0,100,5,Normal operation
2024-11-02 18:00,Zone B,Picking,3,18,30,0,100,3,Normal operation
2024-11-02 18:00,Zone C,Packing,4,22,35,0,88,4,Normal operation
2024-11-02 19:00,Zone A,Receiving,5,15,50,0,100,5,Normal operation
2024-11-02 19:00,Zone B,Picking,3,15,30,0,100,3,Normal operation
2024-11-02 19:00,Zone C,Packing,4,20,35,0,88,4,Normal operation
2024-11-02 20:00,Zone A,Receiving,5,10,40,0,80,5,Normal operation
2024-11-02 20:00,Zone B,Picking,3,10,30,0,100,3,Normal operation
2024-11-02 20:00,Zone C,Packing,4,15,35,0,88,4,Normal operation
2024-11-02 21:00,Zone A,Receiving,5,8,40,0,80,5,Normal operation
2024-11-02 21:00,Zone B,Picking,3,8,30,0,100,3,Normal operation
2024-11-02 21:00,Zone C,Packing,4,12,35,0,88,4,Normal operation
2024-11-02 22:00,Zone A,Receiving,5,5,40,0,80,5,Normal operation
2024-11-02 22:00,Zone B,Picking,3,5,30,0,100,3,Normal operation
2024-11-02 22:00,Zone C,Packing,4,10,35,0,88,4,Normal operation
2024-11-02 23:00,Zone A,Receiving,5,5,40,0,80,5,Normal operation
2024-11-02 23:00,Zone B,Picking,3,5,30,0,100,3,Normal operation
2024-11-02 23:00,Zone C,Packing,4,10,35,0,88,4,Normal operation
